composite | 2023-02-02 2023-02-02 07:33:00 Buy: No option snapshot (expiry=2023-02-02, spot=17576.6)
composite | 2023-02-02 2023-02-02 07:34:00 Buy: No option snapshot (expiry=2023-02-02, spot=17574.0)
composite | 2023-02-02 2023-02-02 07:36:00 Buy: No option snapshot (expiry=2023-02-02, spot=17575.45)
composite | 2023-02-02 2023-02-02 07:38:00 Sell: No option snapshot (expiry=2023-02-02, spot=17538.25)
composite | 2023-02-02 2023-02-02 07:39:00 Sell: No option snapshot (expiry=2023-02-02, spot=17537.45)
composite | 2023-02-02 2023-02-02 07:40:00 Sell: No option snapshot (expiry=2023-02-02, spot=17542.75)
composite | 2023-02-02 2023-02-02 07:41:00 Sell: No option snapshot (expiry=2023-02-02, spot=17556.05)
composite | 2023-02-02 2023-02-02 07:42:00 Sell: No option snapshot (expiry=2023-02-02, spot=17549.6)
composite | 2023-02-02 2023-02-02 07:43:00 Sell: No option snapshot (expiry=2023-02-02, spot=17548.6)
composite | 2023-02-02 2023-02-02 07:44:00 Sell: No option snapshot (expiry=2023-02-02, spot=17550.75)
composite | 2023-02-02 2023-02-02 07:45:00 Sell: No option snapshot (expiry=2023-02-02, spot=17560.8)
composite | 2023-02-02 2023-02-02 07:57:00 Sell: No option snapshot (expiry=2023-02-02, spot=17549.45)
composite | 2023-02-02 2023-02-02 08:01:00 Sell: No option snapshot (expiry=2023-02-02, spot=17548.2)
composite | 2023-02-02 2023-02-02 08:03:00 Sell: No option snapshot (expiry=2023-02-02, spot=17547.05)
composite | 2023-02-02 2023-02-02 08:04:00 Sell: No option snapshot (expiry=2023-02-02, spot=17548.2)
composite | 2023-02-02 2023-02-02 08:19:00 Sell: No option snapshot (expiry=2023-02-02, spot=17530.2)
composite | 2023-02-02 2023-02-02 08:20:00 Sell: No option snapshot (expiry=2023-02-02, spot=17525.85)
composite | 2023-02-02 2023-02-02 08:22:00 Buy: No option snapshot (expiry=2023-02-02, spot=17541.0)
composite | 2023-02-02 2023-02-02 08:23:00 Buy: No option snapshot (expiry=2023-02-02, spot=17546.3)
composite | 2023-02-02 2023-02-02 08:24:00 Buy: No option snapshot (expiry=2023-02-02, spot=17542.5)
composite | 2023-02-02 2023-02-02 08:25:00 Buy: No option snapshot (expiry=2023-02-02, spot=17542.5)
composite | 2023-02-02 2023-02-02 08:26:00 Buy: No option snapshot (expiry=2023-02-02, spot=17524.5)
composite | 2023-02-02 2023-02-02 08:27:00 Buy: No option snapshot (expiry=2023-02-02, spot=17529.0)
composite | 2023-02-02 2023-02-02 08:28:00 Buy: No option snapshot (expiry=2023-02-02, spot=17528.2)
composite | 2023-02-02 2023-02-02 08:29:00 Buy: No option snapshot (expiry=2023-02-02, spot=17518.1)
composite | 2023-02-02 2023-02-02 08:30:00 Sell: No option snapshot (expiry=2023-02-02, spot=17508.35)
composite | 2023-02-02 2023-02-02 08:32:00 Sell: No option snapshot (expiry=2023-02-02, spot=17504.6)
composite | 2023-02-02 2023-02-02 08:33:00 Sell: No option snapshot (expiry=2023-02-02, spot=17519.45)
composite | 2023-02-02 2023-02-02 08:34:00 Sell: No option snapshot (expiry=2023-02-02, spot=17526.55)
composite | 2023-02-02 2023-02-02 08:45:00 Buy: No option snapshot (expiry=2023-02-02, spot=17539.3)
composite | 2023-02-02 2023-02-02 08:46:00 Buy: No option snapshot (expiry=2023-02-02, spot=17530.9)
composite | 2023-02-02 2023-02-02 08:47:00 Buy: No option snapshot (expiry=2023-02-02, spot=17552.0)
composite | 2023-02-02 2023-02-02 08:48:00 Buy: No option snapshot (expiry=2023-02-02, spot=17545.6)
composite | 2023-02-02 2023-02-02 08:49:00 Buy: No option snapshot (expiry=2023-02-02, spot=17543.75)
composite | 2023-02-02 2023-02-02 08:50:00 Buy: No option snapshot (expiry=2023-02-02, spot=17547.65)
composite | 2023-02-02 2023-02-02 08:51:00 Buy: No option snapshot (expiry=2023-02-02, spot=17553.0)
composite | 2023-02-02 2023-02-02 09:00:00 Buy: No option snapshot (expiry=2023-02-02, spot=17587.9)
composite | 2023-02-02 2023-02-02 09:01:00 Buy: No option snapshot (expiry=2023-02-02, spot=17600.9)
composite | 2023-02-02 2023-02-02 09:02:00 Buy: No option snapshot (expiry=2023-02-02, spot=17592.6)
composite | 2023-02-02 2023-02-02 09:03:00 Buy: No option snapshot (expiry=2023-02-02, spot=17592.25)
composite | 2023-02-02 2023-02-02 09:04:00 Buy: No option snapshot (expiry=2023-02-02, spot=17591.95)
composite | 2023-02-03 2023-02-03 03:52:00 Buy: No option snapshot (expiry=2023-02-09, spot=17691.6)
composite | 2023-02-03 2023-02-03 03:53:00 Buy: No option snapshot (expiry=2023-02-09, spot=17699.45)
composite | 2023-02-03 2023-02-03 03:54:00 Buy: No option snapshot (expiry=2023-02-09, spot=17703.5)
composite | 2023-02-03 2023-02-03 03:55:00 Buy: No option snapshot (expiry=2023-02-09, spot=17702.95)
composite | 2023-02-03 2023-02-03 03:56:00 Buy: No option snapshot (expiry=2023-02-09, spot=17683.5)
composite | 2023-02-03 2023-02-03 03:57:00 Buy: No option snapshot (expiry=2023-02-09, spot=17672.0)
composite | 2023-02-03 2023-02-03 03:58:00 Buy: No option snapshot (expiry=2023-02-09, spot=17669.0)
composite | 2023-02-03 2023-02-03 03:59:00 Buy: No option snapshot (expiry=2023-02-09, spot=17672.7)
composite | 2023-02-03 2023-02-03 04:10:00 Sell: No option snapshot (expiry=2023-02-09, spot=17661.85)
composite | 2023-02-03 2023-02-03 04:12:00 Sell: No option snapshot (expiry=2023-02-09, spot=17648.25)
composite | 2023-02-03 2023-02-03 04:13:00 Sell: No option snapshot (expiry=2023-02-09, spot=17661.4)
composite | 2023-02-03 2023-02-03 04:14:00 Sell: No option snapshot (expiry=2023-02-09, spot=17654.85)
composite | 2023-02-03 2023-02-03 04:15:00 Sell: No option snapshot (expiry=2023-02-09, spot=17660.15)
composite | 2023-02-03 2023-02-03 04:16:00 Sell: No option snapshot (expiry=2023-02-09, spot=17661.4)
composite | 2023-02-03 2023-02-03 04:17:00 Sell: No option snapshot (expiry=2023-02-09, spot=17667.6)
composite | 2023-02-03 2023-02-03 04:18:00 Sell: No option snapshot (expiry=2023-02-09, spot=17665.55)
composite | 2023-02-03 2023-02-03 04:19:00 Sell: No option snapshot (expiry=2023-02-09, spot=17659.05)
composite | 2023-02-03 2023-02-03 04:20:00 Sell: No option snapshot (expiry=2023-02-09, spot=17661.4)
composite | 2023-02-03 2023-02-03 04:27:00 Sell: No option snapshot (expiry=2023-02-09, spot=17654.45)
composite | 2023-02-03 2023-02-03 04:28:00 Sell: No option snapshot (expiry=2023-02-09, spot=17666.7)
composite | 2023-02-03 2023-02-03 04:29:00 Sell: No option snapshot (expiry=2023-02-09, spot=17658.6)
composite | 2023-02-03 2023-02-03 04:30:00 Sell: No option snapshot (expiry=2023-02-09, spot=17654.3)
composite | 2023-02-03 2023-02-03 04:31:00 Sell: No option snapshot (expiry=2023-02-09, spot=17666.85)
composite | 2023-02-03 2023-02-03 04:34:00 Buy: No option snapshot (expiry=2023-02-09, spot=17683.7)
composite | 2023-02-03 2023-02-03 04:35:00 Buy: No option snapshot (expiry=2023-02-09, spot=17693.55)
composite | 2023-02-03 2023-02-03 04:36:00 Buy: No option snapshot (expiry=2023-02-09, spot=17674.7)
composite | 2023-02-03 2023-02-03 04:37:00 Buy: No option snapshot (expiry=2023-02-09, spot=17676.8)
composite | 2023-02-03 2023-02-03 04:38:00 Buy: No option snapshot (expiry=2023-02-09, spot=17677.1)
composite | 2023-02-03 2023-02-03 04:39:00 Buy: No option snapshot (expiry=2023-02-09, spot=17669.2)
composite | 2023-02-03 2023-02-03 04:40:00 Buy: No option snapshot (expiry=2023-02-09, spot=17657.05)
composite | 2023-02-03 2023-02-03 04:41:00 Buy: No option snapshot (expiry=2023-02-09, spot=17664.35)
composite | 2023-02-03 2023-02-03 04:47:00 Buy: No option snapshot (expiry=2023-02-09, spot=17675.25)
composite | 2023-02-03 2023-02-03 04:48:00 Buy: No option snapshot (expiry=2023-02-09, spot=17674.25)
composite | 2023-02-03 2023-02-03 04:49:00 Buy: No option snapshot (expiry=2023-02-09, spot=17676.05)
composite | 2023-02-03 2023-02-03 04:50:00 Buy: No option snapshot (expiry=2023-02-09, spot=17684.45)
composite | 2023-02-03 2023-02-03 04:51:00 Buy: No option snapshot (expiry=2023-02-09, spot=17686.55)
